team,team_key,conference,source,rating
Houston,houston,Big 12,sp_plus,7.4
Houston,houston,Big 12,talent,2.3951
Houston,houston,Big 12,meta:returning_ppa,242.7
Houston,houston,Big 12,meta:sp_defense,23.1
Houston,houston,Big 12,meta:sp_offense,30.9
Houston,houston,Big 12,meta:sp_special,-0.4
Houston,houston,Big 12,meta:talent_raw,695.93
Oklahoma State,oklahoma state,Big 12,fpi,3.345
Oklahoma State,oklahoma state,Big 12,sp_plus,6.9
Oklahoma State,oklahoma state,Big 12,talent,0.069
Oklahoma State,oklahoma state,Big 12,meta:returning_ppa,0.0
Oklahoma State,oklahoma state,Big 12,meta:sp_defense,23.4
Oklahoma State,oklahoma state,Big 12,meta:sp_offense,29.9
Oklahoma State,oklahoma state,Big 12,meta:sp_special,0.5
Oklahoma State,oklahoma state,Big 12,meta:talent_raw,672.69
Minnesota,minnesota,Big Ten,fpi,0.612
Minnesota,minnesota,Big Ten,sp_plus,6.2
Minnesota,minnesota,Big Ten,talent,5.6841
Minnesota,minnesota,Big Ten,meta:returning_ppa,113.5
Minnesota,minnesota,Big Ten,meta:sp_defense,19.0
Minnesota,minnesota,Big Ten,meta:sp_offense,25.7
Minnesota,minnesota,Big Ten,meta:sp_special,-0.5
Minnesota,minnesota,Big Ten,meta:talent_raw,728.79
Pittsburgh,pittsburgh,ACC,fpi,6.616
Pittsburgh,pittsburgh,ACC,sp_plus,6.2
Pittsburgh,pittsburgh,ACC,talent,0.3022
Pittsburgh,pittsburgh,ACC,meta:returning_ppa,149.9
Pittsburgh,pittsburgh,ACC,meta:sp_defense,23.9
Pittsburgh,pittsburgh,ACC,meta:sp_offense,30.0
Pittsburgh,pittsburgh,ACC,meta:sp_special,0.1
Pittsburgh,pittsburgh,ACC,meta:talent_raw,675.02
Georgia Tech,georgia tech,ACC,fpi,4.186
Georgia Tech,georgia tech,ACC,sp_plus,5.9
Georgia Tech,georgia tech,ACC,talent,7.9721
Georgia Tech,georgia tech,ACC,meta:returning_ppa,47.7
Georgia Tech,georgia tech,ACC,meta:sp_defense,23.4
Georgia Tech,georgia tech,ACC,meta:sp_offense,28.7
Georgia Tech,georgia tech,ACC,meta:sp_special,0.6
Georgia Tech,georgia tech,ACC,meta:talent_raw,751.65
NC State,nc state,ACC,elo,1.5334
NC State,nc state,ACC,fpi,-1.435
NC State,nc state,ACC,sp_plus,5.7
NC State,nc state,ACC,talent,8.5216
NC State,nc state,ACC,meta:elo_raw,1509.0
NC State,nc state,ACC,meta:returning_ppa,233.7
NC State,nc state,ACC,meta:sp_defense,24.9
NC State,nc state,ACC,meta:sp_offense,31.0
NC State,nc state,ACC,meta:sp_special,-0.4
NC State,nc state,ACC,meta:talent_raw,757.14
Arkansas,arkansas,SEC,fpi,4.396
Arkansas,arkansas,SEC,sp_plus,5.6
Arkansas,arkansas,SEC,talent,7.3545
Arkansas,arkansas,SEC,meta:returning_ppa,65.7
Arkansas,arkansas,SEC,meta:sp_defense,29.0
Arkansas,arkansas,SEC,meta:sp_offense,34.4
Arkansas,arkansas,SEC,meta:sp_special,0.3
Arkansas,arkansas,SEC,meta:talent_raw,745.48
Duke,duke,ACC,fpi,3.547
Duke,duke,ACC,sp_plus,5.6
Duke,duke,ACC,talent,-0.3533
Duke,duke,ACC,meta:returning_ppa,75.6
Duke,duke,ACC,meta:sp_defense,27.6
Duke,duke,ACC,meta:sp_offense,32.8
Duke,duke,ACC,meta:sp_special,0.4
Duke,duke,ACC,meta:talent_raw,668.47
UCLA,ucla,Big Ten,fpi,0.472
UCLA,ucla,Big Ten,sp_plus,5.4
UCLA,ucla,Big Ten,talent,10.2541
UCLA,ucla,Big Ten,meta:returning_ppa,108.3
UCLA,ucla,Big Ten,meta:sp_defense,23.7
UCLA,ucla,Big Ten,meta:sp_offense,29.1
UCLA,ucla,Big Ten,meta:sp_special,0.0
UCLA,ucla,Big Ten,meta:talent_raw,774.45
Maryland,maryland,Big Ten,fpi,1.024
Maryland,maryland,Big Ten,sp_plus,5.2
Maryland,maryland,Big Ten,talent,4.7682
Maryland,maryland,Big Ten,meta:returning_ppa,112.3
Maryland,maryland,Big Ten,meta:sp_defense,22.0
Maryland,maryland,Big Ten,meta:sp_offense,26.8
Maryland,maryland,Big Ten,meta:sp_special,0.3
Maryland,maryland,Big Ten,meta:talent_raw,719.64
Kentucky,kentucky,SEC,fpi,5.366
Kentucky,kentucky,SEC,sp_plus,5.2
Kentucky,kentucky,SEC,talent,11.4752
Kentucky,kentucky,SEC,meta:returning_ppa,43.8
Kentucky,kentucky,SEC,meta:sp_defense,21.1
Kentucky,kentucky,SEC,meta:sp_offense,26.3
Kentucky,kentucky,SEC,meta:sp_special,0.0
Kentucky,kentucky,SEC,meta:talent_raw,786.65
Northwestern,northwestern,Big Ten,fpi,1.414
Northwestern,northwestern,Big Ten,sp_plus,5.1
Northwestern,northwestern,Big Ten,talent,1.6334
Northwestern,northwestern,Big Ten,meta:returning_ppa,198.2
Northwestern,northwestern,Big Ten,meta:sp_defense,20.7
Northwestern,northwestern,Big Ten,meta:sp_offense,25.3
Northwestern,northwestern,Big Ten,meta:sp_special,0.5
Northwestern,northwestern,Big Ten,meta:talent_raw,688.32
Boise State,boise state,Pac-12,fpi,4.045
Boise State,boise state,Pac-12,sp_plus,5.1
Boise State,boise state,Pac-12,talent,-3.0858
Boise State,boise state,Pac-12,meta:returning_ppa,234.2
Boise State,boise state,Pac-12,meta:sp_defense,23.7
Boise State,boise state,Pac-12,meta:sp_offense,29.0
Boise State,boise state,Pac-12,meta:sp_special,-0.3
Boise State,boise state,Pac-12,meta:talent_raw,641.17
Arizona State,arizona state,Big 12,fpi,4.76
Arizona State,arizona state,Big 12,sp_plus,4.9
Arizona State,arizona state,Big 12,talent,5.0044
Arizona State,arizona state,Big 12,meta:returning_ppa,37.6
Arizona State,arizona state,Big 12,meta:sp_defense,22.0
Arizona State,arizona state,Big 12,meta:sp_offense,27.4
Arizona State,arizona state,Big 12,meta:sp_special,-0.6
Arizona State,arizona state,Big 12,meta:talent_raw,722.0
Mississippi State,mississippi state,SEC,fpi,4.082
Mississippi State,mississippi state,SEC,sp_plus,4.8
Mississippi State,mississippi state,SEC,talent,13.2648
Mississippi State,mississippi state,SEC,meta:returning_ppa,109.5
Mississippi State,mississippi state,SEC,meta:sp_defense,26.5
Mississippi State,mississippi state,SEC,meta:sp_offense,30.8
Mississippi State,mississippi state,SEC,meta:sp_special,0.5
Mississippi State,mississippi state,SEC,meta:talent_raw,804.53
Baylor,baylor,Big 12,fpi,6.518
Baylor,baylor,Big 12,sp_plus,3.8
Baylor,baylor,Big 12,talent,5.1326
Baylor,baylor,Big 12,meta:returning_ppa,212.6
Baylor,baylor,Big 12,meta:sp_defense,28.8
Baylor,baylor,Big 12,meta:sp_offense,31.9
Baylor,baylor,Big 12,meta:sp_special,0.6
Baylor,baylor,Big 12,meta:talent_raw,723.28
Wisconsin,wisconsin,Big Ten,fpi,4.818
Wisconsin,wisconsin,Big Ten,sp_plus,3.8
Wisconsin,wisconsin,Big Ten,talent,9.5765
Wisconsin,wisconsin,Big Ten,meta:returning_ppa,29.8
Wisconsin,wisconsin,Big Ten,meta:sp_defense,17.5
Wisconsin,wisconsin,Big Ten,meta:sp_offense,21.6
Wisconsin,wisconsin,Big Ten,meta:sp_special,-0.3
Wisconsin,wisconsin,Big Ten,meta:talent_raw,767.68
UNLV,unlv,Mountain West,elo,7.7486
UNLV,unlv,Mountain West,fpi,-0.382
UNLV,unlv,Mountain West,sp_plus,3.6
UNLV,unlv,Mountain West,talent,2.4051
UNLV,unlv,Mountain West,meta:elo_raw,1566.0
UNLV,unlv,Mountain West,meta:returning_ppa,66.1
UNLV,unlv,Mountain West,meta:sp_defense,28.0
UNLV,unlv,Mountain West,meta:sp_offense,31.4
UNLV,unlv,Mountain West,meta:sp_special,0.1
UNLV,unlv,Mountain West,meta:talent_raw,696.03
North Carolina,north carolina,ACC,elo,-10.8971
North Carolina,north carolina,ACC,fpi,5.91
North Carolina,north carolina,ACC,sp_plus,3.5
North Carolina,north carolina,ACC,talent,9.5975
North Carolina,north carolina,ACC,meta:elo_raw,1395.0
North Carolina,north carolina,ACC,meta:returning_ppa,46.9
North Carolina,north carolina,ACC,meta:sp_defense,21.2
North Carolina,north carolina,ACC,meta:sp_offense,24.3
North Carolina,north carolina,ACC,meta:sp_special,0.4
North Carolina,north carolina,ACC,meta:talent_raw,767.89
Wake Forest,wake forest,ACC,fpi,3.379
Wake Forest,wake forest,ACC,sp_plus,3.4
Wake Forest,wake forest,ACC,talent,0.8878
Wake Forest,wake forest,ACC,meta:returning_ppa,44.1
Wake Forest,wake forest,ACC,meta:sp_defense,20.7
Wake Forest,wake forest,ACC,meta:sp_offense,24.2
Wake Forest,wake forest,ACC,meta:sp_special,0.0
Wake Forest,wake forest,ACC,meta:talent_raw,680.87
Kansas,kansas,Big 12,fpi,2.759
Kansas,kansas,Big 12,sp_plus,3.3
Kansas,kansas,Big 12,talent,1.2521
Kansas,kansas,Big 12,meta:returning_ppa,59.5
Kansas,kansas,Big 12,meta:sp_defense,26.1
Kansas,kansas,Big 12,meta:sp_offense,28.8
Kansas,kansas,Big 12,meta:sp_special,0.6
Kansas,kansas,Big 12,meta:talent_raw,684.51
Cincinnati,cincinnati,Big 12,fpi,4.406
Cincinnati,cincinnati,Big 12,sp_plus,3.0
Cincinnati,cincinnati,Big 12,talent,-3.7754
Cincinnati,cincinnati,Big 12,meta:returning_ppa,34.8
Cincinnati,cincinnati,Big 12,meta:sp_defense,26.1
Cincinnati,cincinnati,Big 12,meta:sp_offense,28.9
Cincinnati,cincinnati,Big 12,meta:sp_special,0.3
Cincinnati,cincinnati,Big 12,meta:talent_raw,634.28
California,california,ACC,fpi,0.884
California,california,ACC,sp_plus,3.0
California,california,ACC,talent,7.9991
California,california,ACC,meta:returning_ppa,188.8
California,california,ACC,meta:sp_defense,25.5
California,california,ACC,meta:sp_offense,28.8
California,california,ACC,meta:sp_special,-0.3
California,california,ACC,meta:talent_raw,751.92
Rutgers,rutgers,Big Ten,fpi,-0.153
Rutgers,rutgers,Big Ten,sp_plus,2.7
Rutgers,rutgers,Big Ten,talent,3.7073
Rutgers,rutgers,Big Ten,meta:returning_ppa,165.0
Rutgers,rutgers,Big Ten,meta:sp_defense,28.2
Rutgers,rutgers,Big Ten,meta:sp_offense,30.8
Rutgers,rutgers,Big Ten,meta:sp_special,0.1
Rutgers,rutgers,Big Ten,meta:talent_raw,709.04
Michigan State,michigan state,Big Ten,fpi,0.281
Michigan State,michigan state,Big Ten,sp_plus,2.2
Michigan State,michigan state,Big Ten,talent,1.3031
Michigan State,michigan state,Big Ten,meta:returning_ppa,52.9
Michigan State,michigan state,Big Ten,meta:sp_defense,25.1
Michigan State,michigan state,Big Ten,meta:sp_offense,27.7
Michigan State,michigan state,Big Ten,meta:sp_special,-0.4
Michigan State,michigan state,Big Ten,meta:talent_raw,685.02
UCF,ucf,Big 12,fpi,2.116
UCF,ucf,Big 12,sp_plus,1.7
UCF,ucf,Big 12,talent,0.014
UCF,ucf,Big 12,meta:returning_ppa,62.3
UCF,ucf,Big 12,meta:sp_defense,22.3
UCF,ucf,Big 12,meta:sp_offense,24.2
UCF,ucf,Big 12,meta:sp_special,-0.1
UCF,ucf,Big 12,meta:talent_raw,672.14
Navy,navy,American Athletic,fpi,-0.712
Navy,navy,American Athletic,sp_plus,1.2
Navy,navy,American Athletic,talent,-47.6746
Navy,navy,American Athletic,meta:returning_ppa,46.7
Navy,navy,American Athletic,meta:sp_defense,26.8
Navy,navy,American Athletic,meta:sp_offense,27.8
Navy,navy,American Athletic,meta:sp_special,0.2
Navy,navy,American Athletic,meta:talent_raw,195.68
San Diego State,san diego state,Pac-12,fpi,1.426
San Diego State,san diego state,Pac-12,sp_plus,0.7
San Diego State,san diego state,Pac-12,talent,-6.2836
San Diego State,san diego state,Pac-12,meta:returning_ppa,182.6
San Diego State,san diego state,Pac-12,meta:sp_defense,24.0
San Diego State,san diego state,Pac-12,meta:sp_offense,24.1
San Diego State,san diego state,Pac-12,meta:sp_special,0.6
